Dataset;Usage
KDDCup99;2
NSL-KDD;15
CTU-13;5
NIMS-Botnet;1
ISCX-2014;1
MCFP;1
ISCX-2016;1
ISCX-SlowDoS-2016;1
CIDDS-001;1
UNSW-NB15;20
CIC-IDS-2017;35
CSE-CIC-IDS-2018;18
CIC-DDoS-2019;5
UNSW-SOSR-2019;1
CIC-Darknet-2020;1
Bot-IoT;4
N-BaIoT;3
IoT-Traces;1
IoTID20;2
IoT-23;4
IoTFinder-Traces;1
MedBIoT;1
UQ-IoT-IDS-2021;1
Edge-IIoTset;2
X-IIoTID;1
LockedShields-17/18;1
HCRL-OTIDS;1
HCRL-Car-Hacking;1
InSDN;2
WSN-DS;1
Gas-Pipeline;2
ToN-IoT;3
OCPP-1.6-IDS;1
Modbus-Evasion-MTD;1
MAWILab;1
RIPE-Atlas;1
USTC-TFC2016;3
SNMP-MIB;1
Kitsune-Mirai;7
DReLAB;1
UNR-IDD;2
ROSIDS23;1
CIC-IoV-2024;1