search_string_id,variant,source_file,result_count,delta_vs_baseline,delta_pct_vs_baseline,search_string
S0,baseline,scopus_sensitivity_exports/Scopus-Original.csv,2328,0,0.0,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S1,learning_or_artificial_intelligence,scopus_sensitivity_exports/Scopus-AI.csv,2362,34,1.5,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning OR ""Artificial Intelligence"") AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S2,nids_or_intrusion_detection_system,scopus_sensitivity_exports/Scopus-nids.csv,2333,5,0.2,"(TITLE-ABS-KEY(((""Intrusion Detection"" OR NIDS OR ""intrusion detection system"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S3,label_flipping,scopus_sensitivity_exports/Scopus-label_flipping.csv,2337,9,0.4,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""label flipping""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S4,model_inference,scopus_sensitivity_exports/Scopus-model_inference.csv,2339,11,0.5,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""model inference""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S5,model_extraction,scopus_sensitivity_exports/Scopus-model_extraction.csv,2328,0,0.0,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""model extraction""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S6,adversarial_example,scopus_sensitivity_exports/Scopus-adversarial_example.csv,2328,0,0.0,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""Adversarial Example""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S7,poisoning,scopus_sensitivity_exports/Scopus-poisoning.csv,2395,67,2.9,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""poisoning""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S8,backdoor,scopus_sensitivity_exports/Scopus-backdoor.csv,2372,44,1.9,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR backdoor))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S9,membership_inference,scopus_sensitivity_exports/Scopus-membership_inference.csv,2332,4,0.2,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""membership inference""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S10,robustness,scopus_sensitivity_exports/Scopus-robustness.csv,2980,652,28.0,"(TITLE-ABS-KEY(((""Intrusion Detection"") AND (Learning) AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR robustness))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S11,combined_without_robustness,scopus_sensitivity_exports/Scopus-full_but_robustness.csv,2487,159,6.8,"(TITLE-ABS-KEY(((""Intrusion Detection"" OR NIDS OR ""intrusion detection system"") AND (Learning OR ""Artificial Intelligence"") AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""adversarial example"" OR poisoning OR backdoor OR ""model extraction"" OR ""membership inference"" OR ""label flipping"" OR ""model inference""))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
S12,combined_with_robustness,scopus_sensitivity_exports/Scopus-full.csv,3142,814,35.0,"(TITLE-ABS-KEY(((""Intrusion Detection"" OR NIDS OR ""intrusion detection system"") AND (Learning OR ""Artificial Intelligence"") AND (Adversarial OR Evasion OR ""Attack Models"" OR ""Covert Attack"" OR ""Stealthy Attack"" OR ""adversarial example"" OR poisoning OR backdoor OR ""model extraction"" OR ""membership inference"" OR ""label flipping"" OR ""model inference"" OR robustness))) AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND PUBYEAR > 2021 AND PUBYEAR < 2026 AND ( LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""sh"" ) ) )"
